Symbol,Name,Atomic_Number,Atomic_Mass,Neutrons,Density,Melting_Point,Boiling_Point,Atomic_Radius,Covalent_Radius,Heat_Fusion,Heat_Evaporation,First_Ionization_Energy
H,Hydrogen,1,1.00794,0,0.0708 (@ -253degC),14.01,20.28,79,32,0.117 (H-H),0.904 (H-H),1311.3
He,Helium,2,4.002602,2,0.147 (@ -270degC),0.95,4.216,0,-,-,0.08,2361.3
Li,Lithium,3,6.941,4,0.534,553.69,1118.15,155,163,2.89,148,519.9
Be,Beryllium,4,9.01218,5,1.848,1551,3243,112,90,12.21,309,898.8
B,Boron,5,10.811,6,2.34,2573,3931,98,82,23.6,504.5,800.2
C,Carbon,6,12.011,6,2.25 (graphite),3820,5100,91,77,-,-,1085.7
N,Nitrogen,7,14.00674,7,0.808 (@ -195.8degC),63.29,77.4,92,75,-,-,1401.5
O,Oxygen,8,15.9994,8,1.149 (@ -183degC),54.8,90.19,-,73,-,-,1313.1
F,Fluorine,9,18.9984,10,1.108 (@ -189degC),53.53,85.01,-,72,0.51 (F-F),6.54 (F-F),1680
Ne,Neon,10,20.1797,10,1.204 (@ -246degC),48,27.1,-,71,-,1.74,2079.4
Na,Sodium,11,22.98977,12,0.971,370.96,1156.1,190,154,2.64,97.9,495.6
Mg,Magnesium,12,24.305,12,1.738,922,1363,160,136,9.2,131.8,737.3
Al,Aluminum,13,26.98154,14,2.6989,933.5,2740,143,118,10.75,284.1,577.2
Si,Silicon,14,28.0855,14,2.33,1683,2628,132,111,50.6,383,786
P,Phosphorus,15,30.97376,16,1.82 (white phosphorus),317.3,553,128,106,2.51,49.8,1011.2
S,Sulfur,16,32.066,16,2.07,386,717.824,127,102,1.23,10.5,999
Cl,Chlorine,17,35.4527,18,1.56 (@ -33.6degC),172.2,238.6,-,99,6.41 (Cl-Cl),20.41 (Cl-Cl),1254.9
Ar,Argon,18,39.948,22,1.40 (@ -186degC),83.8,87.3,-,98,-,6.52,1519.6
K,Potassium,19,39.0983,20,0.856,336.8,1047,235,203,102.5,2.33,418.5
Ca,Calcium,20,40.078,20,1.55,1112,1757,197,174,9.2,153.6,589.4
Sc,Scandium,21,44.95591,24,2.99,1814,3104,162,144,15.8,332.7,630.8
Ti,Titanium,22,47.88,26,4.54,1933,3560,147,132,18.8,422.6,657.8
V,Vanadium,23,50.9415,28,6.11,2160,3650,134,122,17.5,460,650.1
Cr,Chromium,24,51.9961,28,7.18,2130,2945,130,118,21,342,652.4
Mn,Manganese,25,54.93805,30,7.21,1517,2235,135,117,-13.4,221,716.8
Fe,Iron,26,55.847,30,7.874,1808,3023,126,117,13.8,~340,759.1
Co,Cobalt,27,58.9332,32,8.9,1768,3143,125,116,15.48,389.1,758.1
Ni,Nickel,28,58.6934,31,8.902,1726,3005,124,115,17.61,378.6,736.2
Cu,Copper,29,63.546,35,8.96,1356.6,2840,128,117,13.01,304.6,745
Zn,Zinc,30,65.39,35,7.133,692.73,1180,138,125,7.28,114.8,905.8
Ga,Gallium,31,69.723,39,5.91,302.93,2676,141,126,5.59,270.3,578.7
Ge,Germanium,32,72.61,41,5.323,1210.6,3103,137,122,36.8,328,760
As,Arsenic,33,74.92159,42,5.73 (grey arsenic),1090,876,139,120,-,32.4,946.2
Se,Selenium,34,78.96,45,4.79,490,958.1,140,116,5.23,59.7,940.4
Br,Bromine,35,79.904,45,3.12,265.9,331.9,-,114,10.57 (Br-Br),29.56 (Br-Br),1142
Kr,Krypton,36,83.8,48,2.155 (@ -153degC),116.6,120.85,-,112,-,9.05,1350
Rb,Rubidium,37,85.4678,48,1.532,312.2,961,248,216,2.2,75.8,402.8
Sr,Strontium,38,87.62,50,2.54,1042,1657,215,191,9.2,144,549
